ID,GamePSID,name,Publisher,ReleaseYear,ReleaseDate,Developer,Genre,Features,Size,Medium,Hardware,CompletionTime(Hours),is_Digital_game,is_Physical_game,OfficialWebsite
4769,2370,Strike Suit Zero: Director's Cut,Born Ready Games,2014.0,2014-04-09,Born Ready Games,"Mech, Aerial, Vehicular Combat",PS Now,1843.2,Digital only,,nan,0,0,http://www.strikesuitzero.com/
4770,4466,Strike Vector EX,Reverb Publishing,2016.0,2016-08-30,Ragequit,"Aerial, Vehicular Combat",PS Plus,2764.8,Digital only,,nan,0,0,
4771,6452,Strikers Edge,PLAYDIUS,2018.0,2018-01-30,Fun Punch Games,Fighting,,804.0,Physical and Digital,,nan,0,0,http://strikersedgegame.com/
4772,13491,Struggling,Frontier Foundry,2021.0,2021-09-08,Chasing Rats Games,Action,,NA,Digital only,,nan,0,0,https://www.struggling-game.com/
4773,13492,Struggling (EU),Frontier Foundry,2021.0,2021-09-08,Chasing Rats Games,Action,,NA,Digital only,,nan,0,0,https://www.struggling-game.com/
4774,11916,Stubbs the Zombie in Rebel Without a Pulse,Aspyr Media,2021.0,2021-03-16,"Aspyr Media, Wideload Games",Action-Adventure,,4106.24,Digital only,,nan,0,0,https://www.aspyr.com/games/stubbs-the-zombie-in-rebel-without-a-pulse
4775,6221,Stunt Kite Masters VR,HandyGames,2017.0,2017-10-25,HandyGames,Simulation,,498.0,Digital only,"PlayStation VR Required, PlayStation Camera Required, PlayStation Move Compatible",nan,0,0,https://handy-games.com/en/games/stunt-kite-masters-vr/
4776,8555,Stunt Kite Party,HandyGames,2019.0,2019-06-07,HandyGames,Action,,1187.84,Digital only,,nan,0,0,https://handy-games.com/en/games/stunt-kite-party/
4777,8556,Stunt Kite Party (EU),HandyGames,2019.0,2019-06-07,HandyGames,Action,,1187.84,Digital only,,nan,0,0,https://handy-games.com/en/games/stunt-kite-party/
4778,12024,SturmFront - The Mutant War: Übel Edition,Red Art Games,2021.0,2021-04-02,Andrade Games,Shoot 'em up,,497.0,Physical and Digital,,nan,0,0,https://andrade-games.itch.io/sturmfront-the-mutant-war-bel-edition
4779,2725,Styx: Master of Shadows,Focus Entertainment,2014.0,2014-10-07,Cyanide Studio,Stealth,"PS Plus, PS Now",5222.4,,,nan,0,0,http://www.styx-thegame.com/
4780,5198,Styx: Shards of Darkness,Focus Entertainment,2017.0,2017-03-14,Cyanide Studio,Stealth,PS Now,9840.64,Physical and Digital,,nan,0,0,http://www.styx-game.com/
4781,-2295,sU and The Quest for Meaning,,,,,,,NA,,,nan,0,0,http://su-game.com/
4782,6910,Subaeria,Illogika Studios,2018.0,2018-05-09,iLLOGIKA,Roguelite,,1136.64,Digital only,,nan,0,0,https://subaeria.com/
4783,6986,Subaeria (EU),Illogika Studios,2018.0,2018-05-16,iLLOGIKA,Roguelite,,1136.64,Digital only,,nan,0,0,https://subaeria.com/
4784,8317,SubaraCity,Flyhigh Works,2019.0,2019-04-04,Flyhigh Works,Puzzle,,205.0,Digital only,,nan,0,0,
4785,8842,Subdivision Infinity DX (PS4),Blowfish Studios,2019.0,2019-08-16,Mistfly Studios,"Aerial, Vehicular Combat",,1996.8,Digital only,,nan,0,0,https://www.blowfishstudios.com/game/si-dx
4786,4968,Subject 13,Anuman Interactive,2016.0,2016-12-20,Paul Cuisset,Adventure,,1740.8,Digital only,,nan,0,0,http://www.subject13.microids.com/EN/
4787,5172,Sublevel Zero Redux,Merge Games,2017.0,2017-03-03,SIGTRAP Games,First Person Shooter,,834.0,Physical and Digital,,nan,0,0,http://www.sigtrapgames.com/sublevelzero/
4788,3443,Submerged,Screen Australia,2015.0,2015-08-04,Uppercut Games,Adventure,,1638.4,Digital only,,6-8,0,0,http://www.uppercut-games.com/submerged
4789,3452,Submerged (EU),Screen Australia,2015.0,2015-08-05,Uppercut Games,Adventure,,1638.4,Digital only,,5-6,0,0,http://www.uppercut-games.com/submerged
4790,8294,Submersed,Factoria Cultural Gestio,2019.0,2019-03-27,Main Loop,Adventure,,2467.84,Digital only,,nan,0,0,
4791,9928,Subnautica (JP) (PS4),Playism,2020.0,2020-03-19,Unknown Worlds Entertainment,"Survival, Sandbox",,3563.52,Physical and Digital,,1-2,0,0,https://playism.com/ja/product/subnautica
4792,7873,Subnautica (PS4),Unknown Worlds Entertainment,2018.0,2018-12-04,Unknown Worlds Entertainment,"Survival, Sandbox",Cross-Buy,4341.76,Physical and Digital,,1-2,0,0,https://unknownworlds.com/subnautica/
4793,12013,Subnautica: Below Zero (PS4),Bandai Namco Entertainment,2021.0,2021-05-14,Unknown Worlds Entertainment,"Survival, Sandbox",Cross-Buy,NA,Physical and Digital,,nan,0,0,https://unknownworlds.com/subnautica/subnautica-below-zero/
